# a8-r49-absence.py — r0049/agent8. locus, site, kind, cue, text
MATH	ScottDomains/ScottDomains/A1Lemma24.lean:384	lean-doc	has no	- **A poset with a normal maximal point other than `⊥` has no normal realizations.**
MATH	ScottDomains/ScottDomains/A2Thm29Universal.lean:280	lean-doc	does not have	- **The realization property is a real constraint.** It fails for the one-point poset: the type of `true` over `{false}` in `Bool` is normal — `{false}` is normal in `{false, true}` and so is `{false, true}` — and demands a point strictly above its argument, which a one-point poset does not have.
MATH	ScottDomains/ScottDomains/A5Unfinished.lean:162	lean-doc	have no	Then `↓a` and `↓b` are bounded above in `IdealCompletion A` — by `↓c₁` — and have no least upper bound.
MATH	ScottDomains/ScottDomains/CoalescedSum.lean:116	lean-doc	have no	- **A directed set in a sum lies on one side.** Two elements on opposite sides have no upper bound in `Sum`, so directedness forces agreement.
MATH	ScottDomains/ScottDomains/CoalescedSum.lean:39	lean-doc	have no	A directed set in a sum lies entirely on one side (two elements on opposite sides have no upper bound in `Sum`), so its supremum is computed in that side alone and is non-bottom because some member of it already is.
MATH	ScottDomains/ScottDomains/CoalescedSum.lean:55	lean-doc	has no	`α × β` carries a `SupSet` — the smash's candidate is just the coordinatewise supremum — but `α ⊕ β` carries none, because a set with members on both sides has no upper bound at all.
MATH	ScottDomains/ScottDomains/CoalescedSum.lean:55	lean-doc	have no	Sets with members on both sides — the sets on which the selection is arbitrary — have no upper bound, hence no least upper bound, so nothing is required of `sumSup` there.
MATH	ScottDomains/ScottDomains/ContinuousAlgebra.lean:460	lean-doc	has no	- **Egli–Milner, under `T♮` alone.** Neither of the two arguments above is available: without `4♯` or `4♭` the operation `⋓` has no relation at all to the domain order beyond monotonicity.
MATH	ScottDomains/ScottDomains/ContinuousAlgebra.lean:629	lean-doc	does not have	Union is stated membership-wise rather than as an equation of `Finset`s so that the class does not have to carry a `DecidableEq K`.
MATH	ScottDomains/ScottDomains/ContinuousConstruction.lean:33	lean-doc	there is no	There is no completeness hypothesis on `D` at all, and no bounded completeness anywhere.
MATH	ScottDomains/ScottDomains/Effective/A2Compactness.lean:507	lean-doc	there is no	There is no converse; see `not_forall_isCompactElement_ofPairs_iff_bddAbove`.
MATH	ScottDomains/ScottDomains/Effective/A2Compactness.lean:57	lean-doc	have no	`not_consistent_badPairs` and `isCompactElement_ofPairs_badPairs` exhibit this at `α = β = N⊥` with two step functions that have no upper bound whatever, and whose `ofPairs` is nonetheless a compact step function.
MATH	ScottDomains/ScottDomains/Effective/A2Compactness.lean:768	lean-doc	does not exist	They can differ only on the indices section 3 exhibits, where the join does not exist and the total `sSup` returns an unconstrained value.
MATH	ScottDomains/ScottDomains/FinitaryProjectionEmbedding.lean:348	lean-doc	has no	So `{a, b}` is bounded and has no least upper bound: `TwoMub` is bifinite and not bounded complete, which is what Proposition 15 says is possible and what the whole construction needs.
MATH	ScottDomains/ScottDomains/FinitaryProjectionEmbedding.lean:450	lean-doc	has no	This is the concrete reason `{p ∈ Fp(D) | p ⊑ f}` has no greatest element.
MATH	ScottDomains/ScottDomains/FlatOmega.lean:23	lean-doc	has no	Both statements are refutations, so each is given as the concrete failing datum rather than as a negated typeclass: `ω` fails because one nonempty directed subset has no least upper bound, and `f` fails continuity at one directed set.
MATH	ScottDomains/ScottDomains/IdealCompletion.lean:147	lean-doc	has no	`genIdeal` names the generated set as the intersection of every ideal lying above the family — a comprehension, not a closure under finite joins, because a bare pre-order has no finite joins to close under.
MATH	ScottDomains/ScottDomains/JungBicomplete.lean:624	lean-doc	has no	`D` is covered by `lowerBounds C ∪ C` — this is what "`D′ = A ∪ αᵒᵖ`" says — and `{x', y'}` has no upper bound in `lowerBounds C`.
MATH	ScottDomains/ScottDomains/JungBicomplete.lean:656	lean-doc	has no	No infimum means `lowerBounds C` has no largest element.
MATH	ScottDomains/ScottDomains/JungBicomplete.lean:673	lean-doc	has no	That weakening is not cosmetic: Jung's successor `τ(γ) = γ + 1` is total on `αᵒᵖ` only because `αᵒᵖ` has no least element, and "no infimum" is exactly what supplies that.
MATH	ScottDomains/ScottDomains/JungBicomplete.lean:698	lean-comment	has no	-- Step 5: `{x', y'}` has no upper bound in `lowerBounds C`.
MATH	ScottDomains/ScottDomains/Kleene/Factorial.lean:37	lean-doc	there is no	The reason is `NatBot.mem_of_isLUB` — in a flat cpo a **nonempty directed set contains its own least upper bound**, so there is no limit for a monotone map to fail to preserve.
MATH	ScottDomains/ScottDomains/PRep.lean:295	lean-doc	has no	- Lemma 28 is a statement about §7.3's `U`, the ideal completion of the finite non-empty unions of half-open dyadic intervals of `[0, 1)` ordered by superset — not about `P N`, over which §7.1 says `X ↦ X + X` has no representation at all.
MATH	ScottDomains/ScottDomains/PRepFun.lean:1025	lean-doc	has no	The collapse to `⊥` when a coordinate lands on `⊥` is the step that has no analogue in `×`.
MATH	ScottDomains/ScottDomains/Powerdomain/Plotkin.lean:201	lean-doc	has no	- Egli–Milner is not directed by union, unlike the Hoare and Smyth orderings: `{a} ≤ {a, b}` fails whenever `a ≰ b`, because the Smyth conjunct then has no element of `{a}` to place below `b`.
MATH	ScottDomains/ScottDomains/Powerdomain/Smyth.lean:115	lean-doc	there is no	- `∅` is a **top** for the Smyth relation: there is no element of `∅` to place a lower bound under, so the condition is vacuous.
MATH	ScottDomains/ScottDomains/Powerdomain/Smyth.lean:123	lean-doc	does not exist	- `∅` is not below a nonempty set: witness the failure at any `b ∈ v`, where the required `a ∈ ∅` does not exist.
